future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-03 14:45,1.5877616,1.501,1.6402360279738069,1.5196426
25,12-03 15:00,1.5961285,1.528,1.6356275650555272,1.5255984
25,12-03 15:15,1.6095628,1.539,1.6328655591020589,1.5397305
25,12-03 15:30,1.6257937,1.563,1.631879516211203,1.5580622
25,12-03 15:45,1.645288,1.574,1.6321797270185023,1.5806912
25,12-03 16:00,1.6639646,1.594,1.6327894787829416,1.6042311
25,12-03 16:15,1.6796384,1.621,1.632273825049516,1.622557
25,12-03 16:30,1.6891516,1.641,1.628876927186393,1.6332954
25,12-03 16:45,1.6887692,1.6439999999999997,1.6207539475832002,1.6305927
25,12-03 17:00,1.6743966,1.6590000000000005,1.6062591423072206,1.6126359
25,12-03 17:15,1.6467757,1.656,1.5842353244075793,1.5801016
25,12-03 17:30,1.6036456,1.639,1.5542456077753446,1.5301371
25,12-03 17:45,1.5470738,1.61,1.5166977677188902,1.4657625
25,12-03 18:00,1.4775589,1.56,1.4728327874533416,1.389182
25,12-03 18:15,1.3981465,1.491,1.4245774235232231,1.3066823
25,12-03 18:30,1.3149793,1.421,1.3742893809231342,1.2223109
25,12-03 18:45,1.229635,1.353,1.324446140894345,1.1394176
25,12-03 19:00,1.1482357,1.2799999999999998,1.2773393589902635,1.065173
25,12-03 19:15,1.0753033,1.219,1.23483351357459,1.0029047
25,12-03 19:30,1.0138034,1.162,1.1982309222496297,0.9562025
25,12-03 19:45,0.96730375,1.116,1.1682594395562886,0.9272691
25,12-03 20:00,0.9369168,1.084,1.1451703406199192,0.9169902
25,12-03 20:15,0.92432165,1.072,1.1289089789707203,0.9245785
25,12-03 20:30,0.92922,1.068,1.1193057611618933,0.94886947
25,12-03 20:45,0.9258035,1.094,1.116233269451922,1.0106215
25,12-03 21:00,0.96214026,1.119,1.1196871665736057,1.0571841
25,12-03 21:15,1.00922,1.148,1.1297707356930111,1.1105506
25,12-03 21:30,1.0638713,1.181,1.1465898640775414,1.1683744
25,12-03 21:45,1.1197029,1.238,1.1700901883164874,1.2240424
25,12-03 22:00,1.1740139,1.284,1.199884758060454,1.276817
25,12-03 22:15,1.2230273,1.3290000000000002,1.235124778183253,1.3218657
25,12-03 22:30,1.2637562,1.386,1.2744567345032054,1.3581773
25,12-03 22:45,1.2976174,1.425,1.3160887866998483,1.3864639
25,12-03 23:00,1.3224305,1.452,1.357962763772877,1.405648
25,12-03 23:15,1.3380474,1.465,1.3980020161223663,1.4155552
